study_time_hours,exam_result
4.16,80.4
0.68,45.7
6.09,76.4
5.08,69.2
4.87,84.7
1.77,59.9
5.8,77.5
2.41,58.9
4.57,93.1
0.74,31.8
0.77,46
1.55,36.5
1.73,45.5
1.01,53.4
0.95,43.7
7.03,100
4.44,59.9
4.98,73.7
2.3,57
0.44,57.3
7.75,77
0.43,38.3
6.58,86.6
5.32,70.8
3.26,49
5.97,53.6
6.12,50.9
7.03,97.5
4.36,76.9
1.71,67.3
4.58,60.7
0.79,50.5
3.01,61.4
4.88,64.4
2.02,31.9
6.92,79
7.81,60.2
0.61,49.4
1.65,40.9
3.78,54.1
0.3,44.2
0.74,21.1
7.21,68.5
0.36,49.4
1.98,45.1
3.39,62.5
0.16,22.5
6.48,71.9
6.64,83.6
3.16,75.7
1.61,33.1
7.14,78.8
5.43,47.8
4.19,78.4
3.14,48.2
4.31,59.1
2,53.1
3.6,34.8
5.49,64.4
3.29,71.2
5.48,80
5.91,83
6.03,70.3
4.55,56.9
1.48,35.7
5.6,84.4
6.55,75.3
0.75,27.4
7.17,82.7
7.53,80.5
5.35,51.2
0.89,57.1
5.23,58.4
2.85,51.4
2.43,61.5
0.29,41.5
5.8,100
4.53,41.5
3.61,55.5
3.11,76.8
3.29,53.8
3.62,82.2
3.82,56.7
0.78,53.4
3.04,39.2
0.51,29.8
6.21,64
4.18,55.3
6.4,94.9
3.43,55.8
1.22,51.7
2.4,46.1
1.87,60.3
3.52,55.5
6.31,97.1
0.93,25
3.2,81.7
0.73,34.2
3.13,46.5
4.66,92.3
0.55,44.6
0.53,38.7
5.84,75.8
3.26,79.7
2.81,53.4
5.49,78.1
0.68,55.8
6.88,87.9
6.2,54.3
3.12,68.1
3.75,53.6
3.18,38.5
6.28,91.7
0.23,73.7
5.37,59.8
2.42,44
6.24,97.5
7.87,81.3
2.23,24.1
3.57,52
4.38,75.3
4.41,49.5
1.25,39
4.67,70.5
5.79,69
7.55,54.6
5.8,85.2
4.83,73.7
1.87,43.5
0.78,44.1
5.07,70.2
5,52.5
6.71,75.1
3.57,44.6
1.38,50.6
1.8,50.3
3.81,53.8
2.5,59.6
1.44,68.8
0.86,47.4
3.3,64.1
2.7,49.2
7.72,82.9
6.85,75.5
1.47,49.4
6.03,88.9
3.84,45.1
7.41,78.6
4.87,62.9
1.63,32.5
1.57,53.7
7.74,92.1
7.35,60.8
3.86,49.7
4.51,52.4
4.38,87.3
6.11,81.1
3.8,69
0.98,63.7
2.59,45.4
4.55,68
2.81,45.8
6.51,54.1
7.58,56.3
1.94,48.8
7.11,75
5.73,72.5
4.7,60.2
1.04,26.4
3.29,68.8
7.91,81.7
5.19,53.4
4.73,60.8
0.28,40.9
2.57,38.7
3.91,60.3
5.13,66.7
6.86,79.2
3.66,48.5
2.2,63.6
2.25,78.5
1.1,37.2
1.16,42.2
2.44,55.9
6.13,74.5
3.31,59.5
6.88,84.2
7.59,73.4
0.6,67.7
5.69,57.7
0.68,41
0.57,48.2
2.21,62.8
0.81,30.4
5.3,57
5.73,68.5
5.11,88
4.6,58.4
6.25,63.3
6.18,81.1
6.96,83.4
5.55,70.7
2.85,55
4.2,49.9
3.92,81.4
0.86,53.5
6.49,71.8
7.3,77.1
7.88,100
1.98,41.6
0.77,38.2
0.89,53.6
6.43,57.8
5.05,68.9
6.05,62.9
7.24,89.5
1.81,62.4
2.91,48
6.34,72.1
2.08,34.9
4.05,53.7
3.55,56.7
4.76,70.3
7.91,95
0.83,61.3
3.88,86.6
7.67,67.6
2.78,41.4
5.92,73.5
7.43,100
1.92,88.1
0.65,46.8
0.61,33.7
0.58,49.9
2.8,73.9
1.01,24.4
3.24,41.2
6.03,69.7
2.39,58.6
3.84,51.8
1.02,60.9
5.59,88.1
2.54,49.8
1.08,37
7.64,81
6.16,59.1
5.22,64.7
5.78,75.8
3.4,60.6
2.39,53.6
4,64.4
6.6,95.7
7.71,91
4.84,70.6
3.01,73.3
5.75,83.4
5.58,56.2
1.98,57.3
3.48,52.2
1.07,20.1
3.22,85.5
6.1,59.4
2.51,48.6
5.06,54.4
2.62,42.7
1.18,38.6
5.93,76.9
4.71,82.3
6.6,39.9
5.43,66.6
6.54,66.7
1.24,41.9
4.92,78.8
2.94,59.2
5.97,48
4.64,71.4
0.43,64.3
4.27,65.4
5.95,55.5
2.1,33.7
5.24,69.6
6.73,79
0.52,33.5
4.62,81.6
7.1,70.8
1.01,58.3
2.15,69.1
5.01,85.6
4.68,66.7
6.35,80.6
5.03,60.9
4.61,43.5
3.61,53.5
0.63,53.7
4.73,76.3
1.25,40.1
7.91,78.9
0.63,46.4
0.61,40.8
6.3,93.2
0.81,56.1
3.24,46.5
7.42,78.7
6.3,53.5
1.86,53.9
2.01,51.2
4.74,71.8
3.89,75.1
0.93,36.2
1.27,64.6
6.42,76.8
2.76,71.5
6.39,72.8
1.52,30.4
4.8,69.9
4.04,69
2.61,61.3
4.87,61
1,32.5
6.85,89.1
5.95,75.8
2.3,84.6
4.64,67.2
7.22,87.4
3.38,66.9
2.91,60.3
6.39,68.1
0.08,19.599
5.49,78.6
1.73,60.4
5.55,52.2
3.5,39.6
0.16,48.9
6.99,62.7
4.37,41.5
2.51,42.9
5.63,68.2
3.97,50.7
0.28,47.9
5.2,83
7.76,68.5
1.78,56.1
6.9,85.5
4.97,44.7
0.62,33.6
5.84,87.6
3.53,66.9
6.35,47.7
5.09,63.1
0.08,35.3
1.01,55.1
2.82,48.6
3.85,66.9
7.46,93.6
6.58,62.4
6.41,87.8
4.32,76.2
0.74,40.6
5.97,64.7
0.69,19.6
0.73,48.5
2.04,62.3
7.38,78.3
6,70
0.61,19.599
7.35,85.3
6.27,69.3
4.83,82.3
1.02,34.2
2.56,52.6
2.41,51.3
5.12,80.1
4.7,41.9
2.22,54.8
2.49,73.6
4.15,53.1
6.76,100
1.01,49.6
5.81,56.5
7.91,82.6
6,66.7
3.53,71.8
5.85,47.3
6.89,66.5
6.15,86.3
0.1,35.2
1.05,49.9
0.86,41.4
0.25,47.4
5.72,76.6
2.14,43.6
5.78,74.8
5.33,57.9
4.19,73.2
0.48,49.1
2.44,53.6
0.22,67.7
7.28,96.9
2.47,48.3
0.76,19.599
0.08,30.6
4.89,67.1
4.97,81.6
7.91,81.3
2.31,55.9
0.37,37.8
6.24,56.3
2.44,23.8
2.65,74.1
7.26,63.7
4.6,72.7
3.2,41.1
7.6,97.2
2.12,34.7
0.17,33.2
1.85,47.2
0.35,45.8
3.26,59.7
6.65,69.9
7.8,61.4
5.6,80.1
7.41,82.4
3.27,71.9
2.42,44.5
1.23,39
4.01,66
2.62,44.2
0.86,56
7.46,78.2
0.99,37.9
5.92,68.8
0.54,57.9
4.22,55.9
5.4,83.7
1.88,29.8
0.61,38.4
4.75,71.1
4.82,61.7
2.5,47.8
3.01,63.9
0.36,37.7
2.37,55.1
7.06,82.8
1.37,54
3.74,66.2
5.41,80.2
6.42,52.8
0.65,37.4
4.73,62.9
5.02,55.2
1.58,19.599
0.25,19.599
6.75,88.8
3.52,71.1
0.49,44.9
4.62,72.8
3.02,75.4
0.64,47.7
2.3,40.7
2.61,47.6
4.6,85.9
3.23,59.5
0.86,45.1
5.08,86
5.83,74.9
4.06,78.5
0.51,37.7
0.83,52.3
7.56,89
1.51,20.4
2.46,35.9
5.5,70.5
6.33,65.7
7.29,64.9
3.16,40.1
7.91,93.3
0.83,66.5
6.61,66.1
2.18,44.3
7.5,90.4
6.95,85.2
6.1,66.4
4.83,100
1.72,38.5
3.7,55.8
0.28,29.2
5.68,79.7
0.93,49.7
2.07,38.7
1.96,56.7
6.3,78.9
3.21,42.9
4.28,60.8
1.67,66.5
2.67,52.3
4.1,76.5
1.55,54.9
5.52,76.9
3.59,46.9
7.87,74.9
1.97,46.4
3.17,61.1
7.4,82.7
7.09,96
3.87,60.6
0.99,64.7
3.27,53.3
4.7,68.8
2.03,42.4
1.53,57.9
4.25,73.4
1.41,57.1
7,68.4
0.59,32.9
7.9,70.3
4.3,54
7.87,92.9
6.01,76.4
1.22,55.1
1.82,50.9
0.86,22.7
5.83,89.5
1.35,62.8
5.72,63
6.88,62.1
3.29,64.2
5.29,56.5
7.16,100
6.03,87.3
1.05,56.6
2.34,64.6
4.29,57
2.11,61.1
4.05,46.7
7.62,85.4
3.63,89.9
2.09,59.3
1.17,22.3
7.21,74.8
1.84,57.4
1.55,57.7
4.41,47
3.69,63.5
3.09,68.2
4.63,72.1
4.56,63.7
0.55,51.1
3.32,75.1
5.77,91.7
3.05,73.9
7.91,83.9
1.88,68.6
3.97,53.1
5.39,98.1
4.38,59.3
0.31,49.7
4.11,71.1
7.73,79.6
3.25,76
0.93,36.9
0.17,48.9
3.3,77.1
1.48,48.9
6.68,62.4
7.62,69.3
7.52,72.5
3,52.9
3.64,58
2.52,58.7
1.03,42.1
4.47,63
1.49,59.5
0.48,39.4
6.8,72.2
6.39,57.3
7.41,100
2.62,55.4
6.97,93.9
3.19,37.9
0.58,22.1
3.66,60.9
4.43,63.6
3.46,49.4
6.28,66.2
2.81,54.9
7.37,98.7
0.59,55.8
5.76,74.4
7.43,100
4.43,68.8
7.03,99
5.53,88.7
0.12,40.4
5.37,60.2
5.25,68.2
0.08,59.2
3.27,85.5
0.31,38.2
2.34,67.3
7.89,88.7
7.52,85.2
5.48,69.3
2.93,29
3.17,40.7
0.31,42.6
2.71,55.2
6.28,84.7
4.15,79.7
3.81,63.3
0.73,45.8
7.35,72.1
2.26,48.6
3.06,63.3
2.65,47
2.63,67.2
4.79,63.2
5.02,58.8
4.79,82.4
0.55,66.6
7.76,69
5.71,86.4
7.06,87.5
1.28,20.5
7.46,55.4
5.77,89.4
4.01,74.2
0.19,32.3
2.03,48
6.71,88.7
3.03,58.1
5.43,68.8
5.85,80.7
6.21,68.3
3.06,51.5
7.28,72.9
2.34,50.9
6.69,75.7
3.4,74.6
1.87,54.2
2.75,53.9
6.4,75.4
4.92,67.3
1.09,34.8
0.99,62
5.5,73
1.92,42.8
1.67,65.8
6,64.8
2.58,49.9
0.55,48.9
3.4,74.2
4.55,76.3
4.81,71.2
0.47,38.5
3.63,68.3
2.88,65
3.59,52.5
0.33,42.6
2.36,46
5.15,76.5
1.01,43.8
7.67,82
7.91,89.4
2.88,45.4
5.45,76.2
5.08,46.9
1.34,56.8
3.11,56.3
7.85,76
1.02,33.6
4.6,41.8
4.79,86.3
1.34,50.9
4.28,51.3
7.34,100
0.93,19.9
1.52,41.6
2.05,39.4
6.01,97
4.62,55.5
4.03,61.9
6.34,99
7.83,89.6
1.57,54.3
6.5,76.8
2.96,56.8
1.17,63.5
2.05,61.8
3.19,63.6
7.19,64.9
3.83,67.5
4.91,83.1
0.27,52.6
0.51,41.5
7.51,65.3
6.71,57.4
3.92,55.9
1.6,52.2
0.32,40.4
7.8,91.4
0.08,39.3
1.9,45.6
5.47,63.4
7.5,80.4
0.94,43.8
6.19,42.1
2.65,50.4
5.44,56.2
0.77,37
6.92,63.7
5.66,72.7
7.64,75.3
4.02,68.3
7.1,87.2
4.32,81.2
4.1,87.2
0.76,62.5
6.51,81.8
3.3,71.3
4.8,67.9
5.21,54.2
6.2,72.3
4.6,79.2
4.96,55.8
4.17,54.2
4.91,83.6
3.55,64
6.21,86.7
6.48,63
4.14,69.5
1.17,61.1
2.99,69.9
6.72,86.5
7.33,50.1
2.14,73.2
7.53,66.7
2.21,68.2
7.35,91.3
7.48,71.6
4.04,86
7.6,70
4.39,60.5
3.03,79.7
6.48,71
0.87,52.3
1.73,55.5
1.71,53
4.98,67.7
5.67,100
6.7,95.5
7.2,76.2
7,67.5
5.46,68.2
7.32,67.1
2.2,43.6
5.8,61.2
0.61,59
1,38.7
1.81,67.9
0.82,64.4
7.73,78.8
3.73,52.3
7.25,78.6
3.81,67.9
5.6,74.3
2.57,44.9
7.61,100
0.28,39
5.58,77.6
7.6,87
6.31,77.7
6.62,65.7
2.39,63.7
3.61,37.2
1.09,61.1
3.01,42.6
0.08,23.4
6.23,84.1
7.62,97.1
5.61,49.8
6.48,54.1
4.11,63.3
1.53,36.2
5.77,59.8
2.39,57.2
3.68,58.9
7.21,69.4
2.98,51.4
2.31,55.4
0.25,42.4
5.61,64.9
1.72,40.5
5.12,73.6
2.93,25.5
6.3,91.1
7.12,75.5
1.89,77.1
6.34,73.5
1.22,65.1
1.13,60.5
3.43,27.5
2.6,55.4
7.9,73
6.43,60.3
7.12,87
1.09,36.1
5.71,49.2
4.83,62.9
0.79,30.5
6.35,79.6
6.83,82.6
7.31,74.3
7.52,68.7
0.86,39.2
7.06,72.5
7.56,75.7
5.53,97
1.47,33.9
3.21,71.5
0.72,28.6
0.08,19.599
7.36,90
7.78,100
7.35,87
2.03,40
4.97,64.6
4,65.3
3.97,61.2
3.43,45.7
7.53,97.2
6.33,77
6.77,90.1
0.28,47.2
3.3,71
4.78,63
5.27,88
7.16,80.5
1.34,59.1
0.72,41.3
7.15,100
4.05,64.4
4.31,76.7
7.12,79.2
6,61.7
5.85,78.6
1.49,38.4
4.97,58.1
3.6,49.8
4.89,79.7
4.61,64.8
0.21,44.9
2.75,72.2
3.66,46.4
4,56
0.8,38.6
7.19,77.5
2.67,67.8
3.92,58.5
5.31,75.9
5.75,74.7
3.02,21.8
1.03,64.7
1.66,34.7
1.32,42.7
1.95,62.5
4.83,80.2
4.29,70.5
1.35,43.2
5.45,83.8
0.51,37.9
7.28,100
4.53,79.1
4.72,72.4
2.29,44.1
4.09,67.4
3.41,19.599
7.61,60.4
0.61,32.3
3.67,68.9
6.33,95.2
4.36,62.9
4.52,69.8
7.29,99.2
3.01,54.7
0.08,62.3
7.41,62.1
0.26,38.2
6.38,80.9
1.12,34
0.17,31.3
2.84,34.6
6.91,74
0.3,52.4
2.1,28.2
2.23,35.1
0.76,25.5
0.74,26.7
7.27,98.8
5.56,60.1
2.49,45.8
1.91,56.2
0.34,50.8
2.87,81.5
2.41,50.6
7.34,94.5
1.76,49.6
3.24,39.8
5.46,69.2
2.57,50.9
6.25,81.2
5.81,100
0.28,60
6.85,62.6
2.91,54.1
0.77,60.1
5.59,72.7
5.98,73.8
0.57,24.4
2.83,50
7.16,63.1
5.36,90.7
4.27,62.3
4.03,75.3
4.87,68.2
5.22,76.7
0.55,44.8
2.67,44.7
4.21,55.4
5.84,61.4
5.94,51.7
4.84,47.7
4.69,57.7
2.94,57.2
6.68,73.3
7.33,86.9
6.77,89.9
6.98,71.5
7.27,56.4
1.62,32.1
4.11,59.1
4.28,60.7
3.88,37.8
6.79,100
2.6,59.1
1.29,54.8
2.19,49.4
1.15,49.6
3.24,75
0.93,53
0.7,43
3.61,55.2
4.81,45.5
4.86,60.1
0.74,46.4
7.77,79.9
0.97,31.8
5.28,70.2
7.11,89.1
7.08,80
4.1,73
2.22,57.4
6.62,86.2
4.9,85
6.33,88.7
3.2,75.6
7.31,95.1
7.44,75.8
5.9,70.8
7.54,95.4
3.63,87.2
1.56,24.5
5.25,86.2
5.23,53.3
3.93,30.9
2.08,43.2
4.99,58.2
1.45,58.1
6.03,74.4
7.25,85.6
1.33,43
6.56,90.5
1.59,35
4,59.5
7.43,81.2
0.66,27.5
0.72,47.6
7.67,67.4
1.27,31.1
2.74,40.7
3.67,57.8
0.08,26.5
1.5,54.7
6.63,65.8
4.15,66.2
3.15,35.3
5.46,75.2
2.6,68.8
3.51,60.8
7.91,100
6.19,62.3
4.43,70.1
4.21,50.6
6.75,84.3
4.81,59.4
2.71,54.9
3.34,52.8
1.47,39.5
7.68,83.3
5.22,69.8
3.19,66.1
2.88,67.8
7.26,77.6
2.88,60.7
6.05,61.5
6.68,66
7.28,91.1
2.98,46.1
6.12,66.2
2.62,49.7
7.55,91.9
0.09,49.7
4.56,66
4.08,75
7.02,87.6
1.73,19.599
0.7,20
6.77,82.3
2.8,44.3
2.6,69.9
0.84,79.9
7.36,67.7
5.06,86.5
5.54,67.4
7.18,100
6.75,61.8
3.61,76.1
1.28,50.4
5.38,52.3
5.21,85.2
0.38,19.599
7.2,90.4
2.68,49.5
3.43,82.4
4.11,70.4
7.3,94.8
1.36,51.7
2.95,54.1
4.01,57.7
7.91,96.8
3.52,91.3
3.19,52.1
7.48,88.9
5.29,59
1.31,68.8
1.41,54.8
5.16,53.7
3.74,54.6
0.08,47.7
3.59,62.1
7.52,75.6
5.98,72.7
4.47,52.1
1.56,39
2.69,70.4
7.91,84.2
5.27,78.7
2.21,42.1
5.9,86.9
0.73,26
2.96,49.1
1.83,25.7
7.17,97.6
5.88,72.6
3.98,19.7
3.26,76.8
6.87,87.6
1.56,54.1
0.6,26.6
6.81,76.1
6.85,76.1
1.94,68
1.56,55.7
5.77,42.6
1.15,47.7
4.98,75.5
5.61,52.7
4.98,80.8
3.42,38.3
6.53,73.4
7.44,67.4
5.65,70.6
3.35,46.6
7.91,85.3
3.6,42.2
0.93,46.3
1.46,39.4
2.78,61.7
1.37,48.7
6.23,100
0.11,36
3.25,55.2
7.03,83.5
0.94,56
4.61,60.5
7.47,100
0.57,54.3
2.8,49.6
0.3,39.1
5.46,61.9
3.34,48.4
7.58,92.7
5.53,47.2
4.82,55.4
7.28,74.5
1.04,31.6
6.27,87.2
5.84,58.7
5.39,83.4
5.1,52.5
0.99,46.6
6.51,73.2
5.08,73.5
6.17,100
7.01,73.8
4.34,47.6
7.66,71
0.87,21.1
0.08,37.2
2.64,65.4
1.73,35.9
4.43,47.9
2.24,41.1
5.51,60.9
7.56,73.1
6.15,67.5
3.36,50.4
7.88,73.8
6.17,73.3
6.49,87.8
1.64,46.7
5.5,93.8
0.57,29.5
1.88,41.3
0.13,35.4
5.64,92.5
0.17,28.8
3.59,41.3
5.19,74
2.44,49.4
2.94,55.7
6.95,86.3
7.21,80.8
6.87,66
6,100
2.22,37.7
0.6,22.5
3.91,60.8
7.4,60
1.79,36.3
1.68,39.5
6.24,65.9
4.74,76.5
3.23,35.7
6.9,98
4.66,75.9
7.36,62.3
2.95,47.5
3.55,34.1
0.59,66.2
2.94,59.7
1.44,19.599
0.26,57
2.05,34.4
3.93,98.4
1.98,65.6
0.87,51
3.61,75.9
1.18,48.1
0.69,43.9
7.68,70.4
3.81,79.8
6.42,54.6
1.37,47.2
3.69,85.4
0.72,43.5
3.29,50.1
6.61,57.9
7.14,65.4
4.15,66.4
2.29,46.9
5.87,57.5
5.11,84.2
3.76,73
3.8,70.4
3.95,50.1
2.71,64.9
4.15,85
0.46,53.3
4.56,47.9
3.97,75.2
3.36,76.1
2.59,73.4
4.97,45.9
3.88,47.7
0.81,37.3
3,45.3
0.61,41.6
3.03,42.7
4.26,79
3.13,48.3
2.73,39.5
2.25,43.7
3.05,71.4
0.55,39.7
7.91,100
4.44,79.5
5.09,64
1.47,37
7.39,71.1
4.57,54.6
3.31,66.7
5.71,83.8
2.43,52.9
7.48,90.8
1.35,56.5
6.66,75.2
7.73,85.2
3.93,51.3
7.01,100
0.57,41.8
4.96,72.2
2.85,67.3
2.91,100
3.6,79.6
4.77,57
4.93,68.8
2.23,36.9
3.07,31.8
2,53.8
5.06,65.4
0.82,38.4
3.39,72.6
7.83,87.5
7.91,77.9
4.14,59
1.98,27.4
4.67,56.6
3.91,44.7
0.34,19.599
7.91,100
2.62,67.6
3.19,40.5
4.11,54.1
7.04,88.2
6.39,64.8
1.64,19.599
5.73,63.3
7,84.7
5.71,80.9
1.11,44.5
4.31,60.4
6.71,78.6
1.56,64
4.31,59.9
5.36,82.3
5.08,65.1
0.85,33.9
2.22,48
4.42,73.1
1.67,49
2.67,49.6
3.32,63.1
0.11,70.2
4.08,84
7.91,85.3
3.27,59.6
2.19,70.4
2.02,72.4
4.12,64.3
3.65,51.8
6.9,83.9
5.11,72.7
3.19,40.1
3.09,73.2
4.38,62.7
2.03,43.9
3.38,56.7
2.28,45.7
4.12,52.3
4.37,61
6.77,78.1
2.01,35.6
7.24,86.8
4.28,80.7
5.81,65.8
4.89,77.9
6.63,93
5.31,40.7
0.09,46.1
3.12,59
7.51,91.5
3.61,60.5
6.63,76.5
6.95,67.5
2.66,65.4
6.86,61.3
3.02,53.1
0.2,56
5.56,54.9
6.56,100
3.61,65.8
1.39,40.5
4.92,55.4
5.91,77.7
5.24,53.3
2.85,38.4
2.95,59.1
4.39,35.8
1.55,58.5
6.77,100
0.82,36.9
3.89,52.3
6.88,70.1
4.24,64.5
6.09,76.9
1.92,62.9
3.56,34.1
5.7,72.6
7.11,64
5.14,81
1.94,58.7
1.17,60.2
6.73,73.8
4.43,58.9
1.47,50.7
3.89,61.8
1.01,54.6
0.84,52.7
7.36,91.9
4.36,69.5
1.99,44.5
7.05,90.3
7.91,93.1
7.07,96.4
5.98,68.7
7.7,74.1
1.58,30.5
7.02,59.6
2.87,99.5
0.26,44.8
0.26,42.6
1.5,65.8
6.24,74.1
7.17,63.9
1.02,56.9
6.76,82
6.04,58.8
0.42,52.2
5.85,70
0.31,68.8
2.1,39.8
4.25,68.7
7.27,87
0.84,42
2.79,54.9
4.62,76.1
5.92,73.9
7.32,100
3.75,61.2
6.73,68.5
4.94,68.1
1.63,49.1
4.64,50.5
2.51,60.4
5.63,68.3
2.28,36.2
2.1,43.1
7.56,69.2
7.27,88.4
3.61,53.3
6.12,75.6
7.86,76
0.71,59.1
4.85,84.9
2.03,40.2
6.4,87.8
0.81,42.1
6.31,68.2
1.6,53.5
3.65,89.4
6.51,99.2
0.54,59.6
7.43,77.5
1.74,49.8
4.01,53.9
5.88,100
0.99,53.9
4.87,94.3
4.12,83.9
4.69,48.9
5.3,53.1
3.37,52.2
2.39,64.4
1.47,62.4
7.51,82.9
3.21,85
2.26,40.4
0.42,44.7
6.01,69.3
4.22,71.8
1.53,53.3
7.15,83.8
7.47,78
7.05,85.3
4.49,92.2
2.99,69.3
1.3,54.4
3.02,60.9
4.9,78.1
1.81,58.2
3.71,67.3
4.58,53.6
5.85,67.3
0.73,49.5
6.94,58
3.65,59.2
4.66,59.8
7.52,94.1
1.34,43.4
7.08,58.4
6.44,68
7.91,73
3.14,38.8
1.01,20.7
0.11,57
6.34,41.3
1.09,23.1
2.45,75.8
7.9,88.8
3.54,52.1
1.85,49
6.03,64.4
2.17,54.3
4.25,72.5
1.26,50.8
3.69,60
0.87,58.6
6.18,70.1
2.92,60.5
2.55,69.3
7.91,80.3
6.64,88.6
4.43,76
7.55,79.2
1.69,48.9
4.59,66.5
7.43,97.1
4.56,59.7
2.46,67.7
6.49,63.8
1.11,31.9
1.22,39.9
5.85,60.2
0.55,53.9
0.41,22.6
3.03,61.1
3.18,80.7
3.76,43.9
5.93,63
4.55,79.8
5.71,75.7
0.4,33.5
2.53,44.5
7.73,92.3
3.42,66.7
1.78,64.5
7.91,100
3.29,67.1
3.83,52.7
1.79,39.9
5.25,71.4
1.66,65
4.88,66.3
6.06,51.6
5.22,66.1
0.72,39.5
0.64,60.5
6.74,82.8
7.24,82.2
1.09,68.2
3,31.9
5.23,61.4
6.68,99.3
7.27,81.8
5.59,48.1
1.18,32
6.15,71.3
6.87,86.1
2.81,49.4
3.95,77.7
1.33,27.4
2.44,35.9
6.96,66.4
0.71,31
6.1,38.2
0.78,53.7
2.34,65.6
4.66,74
0.08,38.3
5.4,78.1
2.53,51.2
5.99,90.8
7.8,63.9
3.33,48.4
0.24,37.5
6.79,65.2
2.2,45.2
1.19,46.6
7.03,87.4
1.86,40.7
4.84,72.1
2.03,56
5.7,57.9
5.19,57
4.07,60.2
4.44,37.2
1.82,67.1
0.18,38.4
6.41,68.3
7.11,70
6.22,76.5
5.66,71.9
3.78,56.6
4.67,79.3
5.53,54.1
0.21,39.4
3.39,60.7
1.8,69.1
2.92,53.5
5.99,51.5
2.91,29.3
5.91,86.8
7.77,84.7
7.39,78.2
6.62,67.7
6.82,92.9
3.15,32.9
5.85,81.7
5.34,66.1
7.86,82.1
4.6,79.7
3.44,43.8
6.7,94.2
6,70
1,56.7
4.77,65.2
4.74,61.2
5.05,84.5
7.53,83.1
4.82,86.1
6.96,86.8
2.87,77.5
0.46,37.7
3,59.5
4.26,74.3
6.67,73
5.05,83.6
3.54,51.8
3.69,71
7.91,61.9
1.13,33.5
1.64,35.2
5,56.9
5.61,95.5
3.16,51.2
0.26,39.4
4.18,58.6
1.15,56.7
0.45,55.2
2.76,54.8
1.09,35
3.51,50.9
6.09,71.7
0.38,67.8
4,74.1
3.98,87.7
0.08,38.2
5.91,60.6
0.72,28.2
7.46,63.2
5.11,62.6
2.3,57.8
7.4,80.5
3.2,73.5
2.08,26
3.08,46.9
4.89,65.2
5.79,69.1
5.29,66.1
7.37,99.3
7.65,71.8
1.58,64.3
7.3,61
0.85,37
7.66,86.7
2.07,60.7
2.13,38.9
3.37,56.1
1.45,49.9
6.62,64.6
1,51.9
3.51,60
7.26,100
5.08,73.8
4.86,89.4
7.91,100
0.18,23.4
2.56,45.5
1,19.599
1.48,48.1
1.73,39.8
5.02,71.2
2.18,53.5
5.31,62.4
5.9,50.3
3.22,50.6
4.29,76.1
1.06,21.4
6.02,79.1
3.35,66
6.68,70.6
4.21,51.8
5.57,70.4
2.87,35.8
2.97,44.1
3.49,55.4
5.09,59.6
4.05,68.2
6.43,91.8
0.44,41.1
7.2,93.9
7.41,94.4
1.95,62.1
0.81,62.6
4.57,69.4
0.51,37.4
1.84,49.3
4.06,72.4
4.91,68.9
1.55,19.599
7.46,96.6
1.45,47.3
1.23,61.8
1.3,33.8
7.44,95.9
7.03,77.6
0.26,50.3
5.81,84.5
0.59,37.1
0.6,34.2
0.61,36.8
6.64,76.3
3.42,72.5
4.46,56.3
0.25,42.7
7.21,96.2
7.86,85.5
1.88,71.6
5.25,48
5.43,47.1
7.73,66.1
3.87,42.4
1.9,59.3
2.88,55.6
5.12,79.6
3.78,55.2
0.64,48.8
6.46,55.9
6.91,61.2
3.83,56.9
4.19,55.4
3.93,63.1
4.24,35.4
0.82,85
3.47,49.1
3.58,74.4
7.91,93.5
0.39,33.5
2.5,52.1
3.97,68.8
6.78,92.4
3.69,53.3
2.33,52.7
4.28,59.9
2.38,66.3
4.39,60.9
5.52,70.2
4.25,71.2
4.88,70.7
0.31,19.599
5.27,94.6
7.76,84
3.93,78
6.42,66.5
4.39,45.3
5.63,87.5
2.48,59.2
7.73,100
1.72,41.5
1.27,33
0.36,25.1
4.33,65.8
4.95,47.5
5.2,50.2
1.38,37.3
5.21,61.4
1.32,27.8
6.04,77
2.2,79.7
3.38,55.5
2.94,56.5
2.94,57.3
5.77,87.6
7.91,94.4
4.22,55.1
3.21,64.1
2.35,19.599
5,64.1
3.61,32.2
6.18,86.2
4.85,83.4
3.3,69.2
7.62,69.3
0.09,24.1
5.52,71.3
3.29,44.5
0.97,43.5
0.74,47.8
5.19,67.9
1.18,30.1
6.85,58.4
2.49,52.7
2.75,49.8
5.28,81.3
1.76,58.1
0.08,28.5
3.57,66.7
4.22,47.5
3.57,44.9
3.66,61.9
5.33,56.9
6.77,85
2.92,57.1
6.32,53.1
0.5,35
3.84,49.8
3.01,52
3.73,51.8
0.73,47.2
1.11,34.9
2.35,42
2.19,62.6
3.08,65.9
3.66,76.1
1.77,53.1
4.95,64.9
3.01,56.8
0.48,37.9
1.95,38.7
4.48,74.1
4.86,76.6
6.4,64.3
1.96,72.6
4.5,64.7
3.81,69
6.79,68.5
5.84,58.8
1.06,48.3
7.67,100
2.84,77.5
7.64,95.7
2.28,65.8
3.75,49.6
4.4,69.5
0.51,46.4
5.73,92.2
0.84,44.6
1.31,37.9
2.32,67.2
7.69,84.1
7.78,100
3.91,38.7
4.27,59.6
1.69,36.2
3.34,59.9
7.88,71.4
6.33,97.5
5.58,68.6
2.23,61.7
6.1,55
7.73,57.3
7.9,60.5
4.8,78.8
1.29,49.7
7.71,72.8
4.33,79.1
